Latitude,Longitude,Cluster_ID
42.40625,-120.15625,1
42.40625,-120.21875,3
42.40625,-120.53125,1
42.40625,-122.28125,2
42.40625,-122.34375,2
42.40625,-122.40625,2
42.40625,-122.46875,2
42.46875,-112.28125,3
42.46875,-112.34375,3
42.46875,-113.03125,1
42.46875,-116.46875,0
42.46875,-116.53125,0
42.46875,-116.90625,1
42.46875,-118.71875,1
42.46875,-118.78125,1
42.46875,-118.84375,1
42.46875,-119.71875,0
42.46875,-120.21875,3
42.46875,-120.53125,3
42.46875,-120.71875,1
42.46875,-122.34375,2
42.46875,-122.40625,2
42.46875,-122.53125,2
42.53125,-110.84375,1
42.53125,-110.90625,1
42.53125,-111.03125,1
42.53125,-111.09375,1
42.53125,-111.15625,1
42.53125,-111.21875,1
42.53125,-111.96875,3
42.53125,-112.03125,3
42.53125,-112.34375,1
42.53125,-112.40625,3
42.53125,-112.46875,2
42.53125,-112.65625,3
42.53125,-116.53125,0
42.53125,-118.65625,2
42.53125,-118.71875,3
42.53125,-118.78125,1
42.53125,-118.84375,0
42.53125,-120.71875,1
42.53125,-120.78125,1
42.53125,-122.28125,2
42.53125,-122.34375,2
42.53125,-123.78125,2
42.53125,-123.90625,2
42.59375,-110.65625,1
42.59375,-110.71875,1
42.59375,-110.78125,1
42.59375,-110.84375,1
42.59375,-110.90625,0
42.59375,-110.96875,1
42.59375,-111.03125,0
42.59375,-111.09375,1
42.59375,-111.15625,1
42.59375,-111.21875,1
42.59375,-111.28125,1
42.59375,-111.34375,1
42.59375,-111.90625,3
42.59375,-111.96875,3
42.59375,-112.03125,1
42.59375,-112.09375,3
42.59375,-112.28125,1
42.59375,-112.34375,3
42.59375,-112.40625,2
42.59375,-112.46875,1
42.59375,-112.65625,1
42.59375,-112.78125,3
42.59375,-116.34375,1
42.59375,-116.40625,0
42.59375,-116.46875,0
42.59375,-116.53125,1
42.59375,-116.59375,0
42.59375,-118.53125,3
42.59375,-118.59375,3
42.59375,-118.65625,3
42.59375,-118.71875,3
42.59375,-120.65625,1
42.59375,-120.71875,1
42.59375,-120.78125,1
42.59375,-122.28125,2
42.59375,-122.34375,2
42.59375,-122.40625,2
42.59375,-122.53125,2
42.59375,-123.78125,2
42.59375,-123.84375,2
42.59375,-123.90625,2
42.65625,-110.65625,1
42.65625,-110.71875,1
42.65625,-110.78125,1
42.65625,-110.84375,1
42.65625,-110.90625,1
42.65625,-111.03125,0
42.65625,-111.09375,1
42.65625,-111.15625,1
42.65625,-111.21875,1
42.65625,-111.28125,1
42.65625,-111.34375,1
42.65625,-111.40625,1
42.65625,-111.90625,1
42.65625,-111.96875,3
42.65625,-112.03125,3
42.65625,-112.09375,3
42.65625,-112.15625,1
42.65625,-112.28125,3
42.65625,-112.34375,3
42.65625,-112.40625,3
42.65625,-112.46875,1
42.65625,-112.71875,1
42.65625,-112.78125,1
42.65625,-116.34375,1
42.65625,-116.40625,0
42.65625,-116.46875,0
42.65625,-116.53125,1
42.65625,-116.59375,1
42.65625,-116.65625,1
42.65625,-116.71875,1
42.65625,-116.78125,1
42.65625,-116.84375,1
42.65625,-116.90625,1
42.65625,-118.53125,2
42.65625,-118.59375,1
42.65625,-118.65625,1
42.65625,-118.71875,3
42.65625,-120.65625,1
42.65625,-120.71875,1
42.65625,-122.21875,2
42.65625,-122.28125,2
42.65625,-122.34375,2
42.65625,-122.40625,2
42.65625,-122.53125,2
42.71875,-110.65625,1
42.71875,-110.71875,1
42.71875,-110.78125,1
42.71875,-110.84375,1
42.71875,-110.90625,0
42.71875,-111.03125,0
42.71875,-111.09375,1
42.71875,-111.15625,1
42.71875,-111.21875,1
42.71875,-111.28125,1
42.71875,-111.34375,1
42.71875,-111.40625,1
42.71875,-111.46875,1
42.71875,-111.71875,0
42.71875,-111.96875,3
42.71875,-112.03125,3
42.71875,-112.09375,3
42.71875,-112.15625,3
42.71875,-112.28125,3
42.71875,-112.34375,3
42.71875,-112.40625,3
42.71875,-112.46875,3
42.71875,-112.53125,0
42.71875,-116.40625,1
42.71875,-116.46875,0
42.71875,-116.59375,1
42.71875,-116.65625,1
42.71875,-116.71875,1
42.71875,-116.78125,3
42.71875,-116.84375,3
42.71875,-116.90625,3
42.71875,-116.96875,3
42.71875,-118.53125,2
42.71875,-118.59375,1
42.71875,-118.65625,1
42.71875,-118.71875,2
42.71875,-118.78125,1
42.71875,-120.78125,1
42.71875,-122.21875,2
42.71875,-122.28125,2
42.71875,-122.34375,2
42.71875,-123.15625,2
42.71875,-123.21875,2
42.78125,-110.65625,1
42.78125,-110.71875,1
42.78125,-110.78125,0
42.78125,-110.84375,1
42.78125,-110.90625,1
42.78125,-111.03125,0
42.78125,-111.09375,1
42.78125,-111.15625,1
42.78125,-111.21875,1
42.78125,-111.28125,1
42.78125,-111.34375,1
42.78125,-111.40625,1
42.78125,-111.46875,0
42.78125,-111.78125,0
42.78125,-112.03125,3
42.78125,-112.09375,3
42.78125,-112.15625,3
42.78125,-112.46875,3
42.78125,-112.53125,3
42.78125,-116.78125,1
42.78125,-116.90625,3
42.78125,-118.46875,1
42.78125,-118.53125,2
42.78125,-118.59375,2
42.78125,-118.65625,2
42.78125,-118.71875,3
42.78125,-122.21875,2
42.78125,-122.28125,2
42.78125,-122.34375,2
42.78125,-122.53125,2
42.78125,-122.96875,2
42.84375,-110.59375,1
42.84375,-110.65625,1
42.84375,-110.71875,1
42.84375,-110.78125,0
42.84375,-110.84375,1
42.84375,-110.90625,1
42.84375,-110.96875,0
42.84375,-111.03125,0
42.84375,-111.09375,1
42.84375,-111.15625,1
42.84375,-111.21875,1
42.84375,-111.28125,1
42.84375,-111.34375,1
42.84375,-111.40625,1
42.84375,-111.46875,0
42.84375,-111.53125,0
42.84375,-111.59375,0
42.84375,-111.71875,1
42.84375,-111.78125,1
42.84375,-112.03125,1
42.84375,-112.09375,3
42.84375,-112.15625,3
42.84375,-112.21875,3
42.84375,-112.28125,3
42.84375,-112.53125,1
42.84375,-116.53125,0
42.84375,-118.15625,0
42.84375,-118.21875,0
42.84375,-118.46875,2
42.84375,-118.53125,3
42.84375,-118.59375,3
