"lat","lng","elevation","b_infilt","Ds","organic0","Ws","Wpwp_FRACT0","Dsmax","annual_prec","BSk","Cfb","Csb","Dfb","Dfc","Dsa","Dsb","Dsc","ET","sum_winter_Precipitation","Clay0","init_moist0"
41.90625,-115.34375,2296.42993,0.029026,0.357878,0.0147804474794118,0.867131,0.326647058823529,2.96703,580.741,0,0,0,0,0,0,1,0,0,0.289358107006626,0.28,6.00492352941176
41.90625,-115.28125,2251.43994,0.029026,0.357878,0.0150297539464706,0.867131,0.238694117647059,2.96703,580.741,0,0,0,0,0,0,1,0,0,0.273996893039577,0.135882352941176,3.59393529411765
41.90625,-115.21875,2361.12012,0.029026,0.357878,0.0110977836341176,0.867131,0.326647058823529,2.96703,567.793,0,0,0,1,0,0,0,0,0,0.277989635786006,0.28,6.00492352941176
41.90625,-115.15625,2292.06006,0.029026,0.357878,0.0110977836341176,0.867131,0.326647058823529,2.96703,567.793,1,0,0,0,0,0,0,0,0,0.300340740092054,0.28,6.00492352941176
41.90625,-115.09375,2420,0.029026,0.357878,0.00963403167411765,0.867131,0.309852941176471,2.96703,531.007,1,0,0,0,0,0,0,0,0,0.307193361893865,0.256764705882353,9.41773529411765
41.90625,-115.03125,2095.37012,0.114487,0.438536,0.00963403167411765,0.792757,0.309852941176471,2.57569,531.007,1,0,0,0,0,0,0,0,0,0.298709469477802,0.256764705882353,9.41773529411765
41.90625,-114.46875,2251.25,0.114487,0.438536,0.0110808216782353,0.792757,0.2752,2.57569,424.63,1,0,0,0,0,0,0,0,0,0.287652356268897,0.21,1.09235882352941
41.90625,-113.84375,2072.12988,0.282672,0.454933,0.0361212352941176,0.299293,0.308605882352941,0.802936,448.363,1,0,0,0,0,0,0,0,0,0.317712309361892,0.252647058823529,25.5776470588235
41.90625,-113.78125,2126.86011,0.282672,0.454933,0.0361212352941176,0.299293,0.308605882352941,0.802936,448.363,1,0,0,0,0,0,0,0,0,0.28848490395291,0.252647058823529,25.5776470588235
41.90625,-113.71875,1874.31006,0.282672,0.454933,0.0361212352941176,0.299293,0.283094117647059,0.802936,391.811,1,0,0,0,0,0,0,0,0,0.253478542464986,0.190588235294118,17.7319411764706
41.90625,-113.59375,1994.81006,0.282672,0.454933,0.0580735427652941,0.299293,0.236747058823529,0.802936,416.16,1,0,0,0,0,0,0,0,0,0.261603977832815,0.144705882352941,6.18934117647059
41.90625,-113.53125,2272.62988,0.282672,0.454933,0.0361212352941176,0.299293,0.308605882352941,0.802936,416.16,1,0,0,0,0,0,0,0,0,0.265896348418418,0.252647058823529,25.5776470588235
41.96875,-123.65625,1149.80005,0.3,0.1,0.039501,0.75,0.293129411764706,10,2800.95,0,0,1,0,0,0,0,0,0,0.47631429035397,0.237352941176471,4.95671764705882
41.96875,-123.59375,914.187012,0.3,0.1,0.0309313777235294,0.75,0.2261,10,2454.58,0,0,1,0,0,0,0,0,0,0.487308236804663,0.115,6.23034117647059
41.96875,-123.28125,1572,0.3,0.1,0.0138918654294118,0.75,0.292535294117647,10,1454.13,0,0,1,0,0,0,0,0,0,0.474057341386721,0.236176470588235,6.06612352941177
41.96875,-116.03125,2155,0.235058,0.052484,0.0236896110935294,0.673148,0.275382352941176,21.9579,449.658,1,0,0,0,0,0,0,0,0,0.320561886935482,0.210588235294118,5.18264705882353
41.96875,-115.96875,2066.5,0.029026,0.357878,0.0187077421641176,0.867131,0.436552941176471,2.96703,530.533,1,0,0,0,0,0,0,0,0,0.329477868687892,0.401470588235294,8.74535882352941
41.96875,-115.90625,1926.13,0.029026,0.357878,0.0187077421641176,0.867131,0.436552941176471,2.96703,530.533,1,0,0,0,0,0,0,0,0,0.308046099515681,0.401470588235294,8.74535882352941
41.96875,-115.84375,2170.75,0.029026,0.357878,0.0171735067882353,0.867131,0.309852941176471,2.96703,587.002,1,0,0,0,0,0,0,0,0,0.315655042673194,0.256764705882353,9.41773529411765
41.96875,-115.15625,2033.06006,0.029026,0.357878,0.0110977836341176,0.867131,0.326647058823529,2.96703,567.793,0,0,0,1,0,0,0,0,0,0.270771394840146,0.28,6.00492352941176
41.96875,-115.09375,2238.75,0.029026,0.357878,0.00963403167411765,0.867131,0.309852941176471,2.96703,531.007,0,0,0,1,0,0,0,0,0,0.302417447636445,0.256764705882353,9.41773529411765
41.96875,-115.03125,2189.75,0.114487,0.438536,0.00963403167411765,0.792757,0.309852941176471,2.57569,531.007,1,0,0,0,0,0,0,0,0,0.303961567159118,0.256764705882353,9.41773529411765
41.96875,-114.96875,2134.25,0.114487,0.438536,0.029754,0.792757,0.401064705882353,2.57569,429.592,1,0,0,0,0,0,0,0,0,0.278601958417176,0.364705882352941,2.32854705882353
41.96875,-113.40625,1992.06006,0.282672,0.454933,0.0434735415841176,0.299293,0.204852941176471,0.802936,519.365,0,0,0,1,0,0,0,0,0,0.217588907559397,0.0488235294117647,6.80142941176471
41.96875,-113.34375,2209.17993,0.282672,0.454933,0.0361212352941176,0.299293,0.308605882352941,0.802936,432.613,0,0,0,1,0,0,0,0,0,0.195986595272522,0.252647058823529,25.5776470588235
42.03125,-123.53125,1048.31006,0.3,0.1,0.0272523676058824,0.75,0.291905882352941,10,2253.43,0,0,1,0,0,0,0,0,0,0.482744046987975,0.235294117647059,4.90606470588235
42.03125,-123.46875,1475.06006,0.3,0.1,0.0323638329470588,0.75,0.292535294117647,10,1751.4,0,0,1,0,0,0,0,0,0,0.488716612126317,0.236176470588235,6.06612352941177
42.03125,-123.40625,1199.93994,0.3,0.1,0.0329627348588235,0.75,0.291905882352941,10,1751.4,0,0,1,0,0,0,0,0,0,0.451963110368515,0.235294117647059,4.90606470588235
42.03125,-123.34375,1410.5,0.3,0.1,0.0323638329470588,0.75,0.292535294117647,10,1772.21,0,0,1,0,0,0,0,0,0,0.441815767465579,0.236176470588235,6.06612352941177
42.03125,-123.28125,1374.56006,0.3,0.1,0.0323638329470588,0.75,0.292535294117647,10,1772.21,0,0,1,0,0,0,0,0,0,0.442024975032215,0.236176470588235,6.06612352941177
42.03125,-122.96875,1263.06006,0.3,0.1,0.0323638329470588,0.75,0.292535294117647,10,1293.67,0,0,1,0,0,0,0,0,0,0.414050026876836,0.236176470588235,6.06612352941177
42.03125,-122.90625,1836.43994,0.3,0.1,0.0323638329470588,0.75,0.292535294117647,10,1293.67,0,0,0,0,0,0,0,1,0,0.415940810063972,0.236176470588235,6.06612352941177
42.03125,-120.15625,2055,0.3,0.1,0.014877,0.75,0.240388235294118,10,922.693,0,0,0,0,0,0,1,0,0,0.377913408259922,0.14,5.10492352941176
42.03125,-120.09375,1997.93994,0.3,0.1,0.014877,0.75,0.240388235294118,10,447.629,0,0,0,0,0,0,1,0,0,0.370241020551529,0.14,5.10492352941176
42.03125,-116.03125,2135.62988,0.235058,0.052484,0.00790524966882353,0.673148,0.275382352941176,21.9579,548.671,1,0,0,0,0,0,0,0,0,0.319892446411874,0.210588235294118,5.18264705882353
42.03125,-115.96875,2084,0.029026,0.357878,0.00790524966882353,0.867131,0.275382352941176,2.96703,462.895,1,0,0,0,0,0,0,0,0,0.317375035337416,0.210588235294118,5.18264705882353
42.03125,-115.90625,1998.75,0.029026,0.357878,0.00699552488705882,0.867131,0.309852941176471,2.96703,462.895,1,0,0,0,0,0,0,0,0,0.298717661732381,0.256764705882353,9.41773529411765
42.03125,-115.03125,2141.56006,0.029026,0.357878,0.00836661990941177,0.867131,0.309852941176471,2.96703,494.732,1,0,0,0,0,0,0,0,0,0.290805382063166,0.256764705882353,9.41773529411765
42.03125,-114.96875,2258.93994,0.102326,0.177414,0.00210229411764706,0.27943,0.300035294117647,0.417119,520,1,0,0,0,0,0,0,0,0,0.285747212141519,0.242941176470588,24.6406
42.03125,-114.90625,2204.06006,0.114487,0.438536,0.00210229411764706,0.792757,0.300035294117647,2.57569,520,1,0,0,0,0,0,0,0,0,0.257584718014742,0.242941176470588,24.6406
42.03125,-114.28125,2057.92993,0.259561,0.051613,0.0105746974788235,0.795084,0.204852941176471,2.57569,454.572,1,0,0,0,0,0,0,0,0,0.29745400307069,0.0488235294117647,6.80142941176471
42.03125,-114.21875,2007,0.259561,0.051613,0.0122178533758824,0.795084,0.204852941176471,2.57569,497.174,1,0,0,0,0,0,0,0,0,0.304423152742,0.0488235294117647,6.80142941176471
42.03125,-114.15625,1932.63,0.259561,0.051613,0.0122178533758824,0.795084,0.204852941176471,2.57569,497.174,1,0,0,0,0,0,0,0,0,0.296876326064994,0.0488235294117647,6.80142941176471
42.03125,-113.78125,1829.5,0.282672,0.454933,0.0102499411764706,0.299293,0.283094117647059,0.802936,443.058,1,0,0,0,0,0,0,0,0,0.26613436049306,0.190588235294118,17.7319411764706
42.03125,-113.71875,1867.12,0.282672,0.454933,0.0150139275170588,0.299293,0.465094117647059,0.802936,353.225,1,0,0,0,0,0,0,0,0,0.262838886330624,0.426764705882353,9.01264117647059
42.09375,-123.40625,1361.31006,0.3,0.1,0.0323638329470588,0.75,0.292535294117647,10,1751.4,0,0,1,0,0,0,0,0,0,0.454055071871564,0.236176470588235,6.06612352941177
